state,constituency,candidate_name,party,num_votes,total_votes,perc_votes,rank,won
Andhra Pradesh,Ramachandrapuram,POLISETTI CHANDRA SEKHAR,Janasena Party,18529,168891,0.1097,3,0
Andhra Pradesh,Ramachandrapuram,NOTA,None of the Above,1463,168891,0.0087,4,0
Andhra Pradesh,Ramachandrapuram,ISUKAPATLA SATHISH KUMAR,Indian National Congress,856,168891,0.0051,5,0
Andhra Pradesh,Ramachandrapuram,DUDALA SANKARANARAYANAMURTHY,Bharatiya Janata Party,788,168891,0.0047,6,0
Andhra Pradesh,Ramachandrapuram,CHANDRASEKHAR MADIKI,Independent,475,168891,0.0028,7,0
Andhra Pradesh,Ramachandrapuram,BABUJI SRI GUTHULA JHAI SRI SURYENDRANAD,Independent,231,168891,0.0014,8,0
Andhra Pradesh,Ramachandrapuram,YARRAMSETTI RAMARAJU,Independent,240,168891,0.0014,9,0
Andhra Pradesh,Ramachandrapuram,PUVVALA LAKSHMI,Praja Shanthi Party,185,168891,0.0011,10,0
Andhra Pradesh,Ramachandrapuram,KADA VEERA VENKATA RAMANA,Jana Jagruti Party,153,168891,0.0009,11,0
Andhra Pradesh,Ramachandrapuram,BOMMOTHULA VENKATASRINIVASARAO,Independent,151,168891,0.0009,12,0
Andhra Pradesh,Ramachandrapuram,TRIMURTULU BANDI,Independent,143,168891,0.0008,13,0
Andhra Pradesh,Ramachandrapuram,PICHIKA HEMAMBARADHARARAO,Pyramid Party of India,115,168891,0.0007,14,0
Andhra Pradesh,Mummidivaram,PONNADA VENKATA SATISH KUMAR,Yuvajana Sramika Rythu Congress Party,78522,192043,0.4089,1,1
Andhra Pradesh,Mummidivaram,DATLA SUBBA RAJU (BUTCHI BABU),Telugu Desam,72975,192043,0.38,2,0
Andhra Pradesh,Mummidivaram,PITHANI BALA KRISHNA,Janasena Party,33334,192043,0.1736,3,0
Andhra Pradesh,Mummidivaram,NOTA,None of the Above,2298,192043,0.012,4,0
Andhra Pradesh,Mummidivaram,MOPURI SRINIVAS KIRAN,Indian National Congress,1362,192043,0.0071,5,0
Andhra Pradesh,Mummidivaram,CHITTI BABU KARRI,Bharatiya Janata Party,1127,192043,0.0059,6,0
